Employee_Id,Year_Month,Performance_Rating,Training_Hours,Overtime_Hours,Absenteeism_Days,Promotion_Flag,Salary_Increase_Flag,Monthly_Bonus,Benefits_Cost,Employee_Satisfaction,Engagement_Index,Manager_Evaluation
EMP000002,2024-12,4.18,4,20,0,FALSE,FALSE,991.39,1584.89,8.6,8.2,4.3
EMP000003,2024-12,4.18,6,16,2,FALSE,FALSE,988.54,1584.56,9.8,9,4.1
EMP000004,2024-12,4.69,6,23,0,FALSE,FALSE,1426.71,1759.48,9.1,10,4.6
EMP000005,2024-12,4.1,4,11,0,FALSE,FALSE,418.86,947.89,6.8,6.7,4.2
EMP000006,2024-12,4.47,3,5,0,FALSE,FALSE,500.69,473.44,7.7,8,4.9
EMP000007,2024-12,3.9,3,17,0,FALSE,FALSE,856.89,1260.12,7.7,9.8,3.7
EMP000010,2024-12,4.45,9,20,0,FALSE,FALSE,881.98,1388.44,6.9,6.7,5
EMP000011,2024-12,4.64,3,19,0,FALSE,FALSE,736.68,1157.22,7,8.1,4.3
EMP000012,2024-12,4.24,3,11,2,FALSE,FALSE,335.6,1061.01,5.3,5.3,4.3
EMP000013,2024-12,3.83,4,18,0,FALSE,FALSE,148.99,778.42,7.9,7.7,3.6
EMP000014,2024-12,2.91,1,5,0,FALSE,FALSE,35.36,195.23,6.1,4.7,2.9
EMP000015,2024-12,4.42,8,8,2,FALSE,FALSE,684.25,626.26,8.4,9.2,4.3
EMP000016,2024-12,3.01,2,7,1,FALSE,FALSE,100.87,685.75,6.9,7,2.7
EMP000017,2024-12,4.13,0,16,0,FALSE,FALSE,323.72,1034.78,8.7,8.2,4.2
EMP000018,2024-12,3.7,2,12,1,FALSE,FALSE,179.24,767.05,6.9,6.3,3.7
EMP000019,2024-12,3.83,0,6,0,FALSE,FALSE,49.19,195.84,6.8,6.9,3.7
EMP000020,2024-12,4.19,3,11,0,FALSE,FALSE,521.03,1130.39,9,10,3.8
EMP000021,2024-12,4.23,8,2,0,TRUE,FALSE,300.68,93.84,6.9,7.6,4.2
